"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"AUTOIETF",1536,27.31,29.73,41944.6,45665.28,3720.68,8.87,1.57,""
"BANKBEES",5,595.35,592.26,2976.76,2961.3,-15.46,-0.52,0.2,""
"BANKIETF",26,59.54,58.78,1548.13,1528.28,-19.85,-1.28,0.31,""
"BIRET-RR",54,326.16,341.48,17612.42,18439.92,827.5,4.7,0.11,""
"BSE",7,3617.6,3646.2,25323.2,25523.4,200.2,0.79,3.28,""
"CPSEETF",71,95.67,94.91,6792.67,6738.61,-54.06,-0.8,0.35,""
"DIVOPPBEES",186,77,78.34,14322.1,14571.24,249.14,1.74,-0.33,""
"EBBETF0430",5,1408.36,1607.92,7041.82,8039.6,997.78,14.17,-0.41,""
"EMBASSY-RR",36,425.67,437.99,15323.95,15767.64,443.69,2.9,0.06,""
"FINIETF",261,32.48,33.54,8478.46,8753.94,275.48,3.25,2.95,""
"FMCGIETF",105,52.54,52.77,5516.77,5540.85,24.08,0.44,-0.83,""
"GAIL",63,122.44,181.44,7713.6,11430.72,3717.12,48.19,4.49,""
"GOLDBEES",486,109.86,117.11,53393.58,56915.46,3521.88,6.6,-0.22,""
"GOLDCASE",389,21.89,22.31,8513.93,8678.59,164.66,1.93,-0.09,""
"GOLDIETF",132,126.91,121.33,16752.06,16015.56,-736.5,-4.4,-0.16,""
"HDFCNEXT50",139,69.68,75.19,9686.02,10451.41,765.39,7.9,1.46,""
"HDFCSML250",12,180.46,180.67,2165.54,2168.04,2.5,0.12,0.46,""
"HEALTHIETF",63,167.58,171.89,10557.5,10829.07,271.57,2.57,0.34,""
"INTERNET",305,13.3,13.58,4056.58,4141.9,85.32,2.1,-0.37,""
"ITETF",305,28.34,32.57,8644.25,9933.85,1289.6,14.92,-1.45,""
"JUNIORBEES",76,703.18,795.65,53441.94,60469.4,7027.46,13.15,1.44,""
"LIQUIDBEES",10,930.06,1000,9300.65,10000,699.35,7.52,0,""
"LIQUIDCASE",78,107.99,115.28,8423.04,8991.84,568.8,6.75,0.03,""
"MCX",8,2721.91,2692.2,21775.25,21537.6,-237.65,-1.09,0.57,""
"METALIETF",10,12.68,12.8,126.8,128,1.2,0.95,0.16,""
"MID150BEES",64,219.3,239.48,14035.02,15326.72,1291.7,9.2,0.62,""
"MINDSPACE-RR",32,469.23,492.13,15015.42,15748.16,732.74,4.88,-0.74,""
"MODEFENCE",6,102.46,102.34,614.74,614.04,-0.7,-0.11,1.6,""
"MOREALTY",90,89.8,90.31,8081.84,8127.9,46.06,0.57,0.72,""
"NIFTYBEES",350,266.45,277.42,93257.89,97097,3839.11,4.12,0.34,""
"NIFTYETF",94,261.11,265.46,24544.21,24953.24,409.03,1.67,0.34,""
"NV20BEES",20,139.68,140.78,2793.5,2815.6,22.1,0.79,-0.24,""
"NXST-RR",110,157.77,166.9,17354.62,18359,1004.38,5.79,-0.6,""
"OILIETF",275,11.35,11.42,3119.88,3140.5,20.62,0.66,1.06,""
"PHARMABEES",999,23.33,27.27,23304.61,27242.73,3938.12,16.9,0.66,""
"SBIN",15,391.2,1027.4,5868,15411,9543,162.63,0.2,""
"SENSEXETF",110,82.53,80.45,9078.65,8849.5,-229.15,-2.52,0.3,""
"SETFGOLD",197,97.05,120.84,19119.83,23805.48,4685.65,24.51,-0.24,""
"SILVERIETF",35,227.93,215.72,7977.43,7550.2,-427.23,-5.36,-0.06,""
"SMALLCAP",61,44.32,46.78,2703.78,2853.58,149.8,5.54,0.09,""
"WIPRO",37,185.51,183.65,6863.95,6795.05,-68.9,-1,-1.44,""
