Symbol,Exchange,Type
AUTOIETF,NSE,ETF
BANKBEES,NSE,ETF
BANKIETF,NSE,ETF
BIRET-RR,NSE,ETF
BSE,NSE,ETF
CPSEETF,NSE,STOCK
DIVOPPBEES,NSE,STOCK
EBBETF0430,NSE,ETF
EMBASSY-RR,NSE,STOCK
FINIETF,NSE,ETF
FMCGIETF,NSE,ETF
GAIL,NSE,STOCK
GOLDBEES,NSE,STOCK
GOLDCASE,NSE,STOCK
GOLDIETF,NSE,ETF
HDFCNEXT50,NSE,STOCK
HDFCSML250,NSE,STOCK
HEALTHIETF,NSE,ETF
INTERNET,NSE,STOCK
ITETF,NSE,ETF
JUNIORBEES,NSE,STOCK
LIQUIDBEES,NSE,STOCK
LIQUIDCASE,NSE,STOCK
MCX,NSE,STOCK
METALIETF,NSE,ETF
MID150BEES,NSE,STOCK
MINDSPACE-RR,NSE,STOCK
MODEFENCE,NSE,STOCK
MOREALTY,NSE,STOCK
NIFTYBEES,NSE,STOCK
NIFTYETF,NSE,ETF
NV20BEES,NSE,STOCK
NXST-RR,NSE,STOCK
OILIETF,NSE,ETF
PHARMABEES,NSE,STOCK
SBIN,NSE,STOCK
SENSEXETF,NSE,ETF
SETFGOLD,NSE,ETF
SILVERIETF,NSE,ETF
SMALLCAP,NSE,STOCK
WIPRO,NSE,STOCK
